police_report_number,jurisdiction,incident_summary,reported_offense,loss_amount_usd
PR-GOT-2024-1236,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,76268
PR-MET-2024-1237,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,15479
PR-MET-2024-1238,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,20238
PR-CEN-2024-1239,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,47711
PR-MET-2024-1240,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,80505
PR-CEN-2024-1241,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,59619
PR-MET-2024-1242,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,5346
PR-MET-2024-1243,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,66662
PR-STA-2024-1244,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,85369
PR-GOT-2024-1245,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,88860
PR-STA-2024-1246,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,73667
PR-STA-2024-1247,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,66115
PR-CEN-2024-1248,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,6780
PR-RIV-2024-1249,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,35838
PR-CEN-2024-1250,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,94463
PR-RIV-2024-1251,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,29440
PR-RIV-2024-1252,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,98243
PR-CEN-2024-1253,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,36081
PR-CEN-2024-1254,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,46486
PR-STA-2024-1255,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,16501
PR-MET-2024-1256,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,32647
PR-RIV-2024-1257,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,68487
PR-MET-2024-1258,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,14722
PR-STA-2024-1259,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,91527
PR-STA-2024-1260,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,52259
PR-GOT-2024-1261,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,2301
PR-CEN-2024-1262,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,3165
PR-RIV-2024-1263,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,41412
PR-STA-2024-1264,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,5056
PR-MET-2024-1265,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,96618
PR-MET-2024-1266,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,67026
PR-CEN-2024-1267,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,48676
PR-CEN-2024-1268,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,30868
PR-CEN-2024-1269,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,59738
PR-CEN-2024-1270,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,17210
PR-CEN-2024-1271,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,87434
PR-MET-2024-1272,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,90273
PR-RIV-2024-1273,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,49392
PR-MET-2024-1274,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,50459
PR-STA-2024-1275,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,59800
PR-MET-2024-1276,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,98831
PR-RIV-2024-1277,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,98455
PR-CEN-2024-1278,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,84385
PR-RIV-2024-1279,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,32456
PR-MET-2024-1280,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,28205
PR-GOT-2024-1281,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,90925
PR-CEN-2024-1282,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,28700
PR-CEN-2024-1283,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,48576
PR-CEN-2024-1284,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,64913
PR-MET-2024-1285,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,24131
PR-RIV-2024-1286,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,24399
PR-MET-2024-1287,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,97367
PR-GOT-2024-1288,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,10400
PR-MET-2024-1289,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,45606
PR-RIV-2024-1290,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,75453
PR-RIV-2024-1291,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,53371
PR-MET-2024-1292,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,21366
PR-CEN-2024-1293,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,23139
PR-RIV-2024-1294,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,5021
PR-GOT-2024-1295,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,4804
PR-CEN-2024-1296,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,22114
PR-MET-2024-1297,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,4831
PR-RIV-2024-1298,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,75124
PR-STA-2024-1299,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,53026
PR-RIV-2024-1300,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,2109
PR-CEN-2024-1301,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,66378
PR-MET-2024-1302,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,88435
PR-RIV-2024-1303,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,23467
PR-CEN-2024-1304,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,52677
PR-GOT-2024-1305,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,24863
PR-GOT-2024-1306,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,70233
PR-GOT-2024-1307,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,2411
PR-STA-2024-1308,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,80927
PR-GOT-2024-1309,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,80280
PR-MET-2024-1310,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,25779
PR-GOT-2024-1311,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,74795
PR-MET-2024-1312,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,64033
PR-CEN-2024-1313,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,16143
PR-GOT-2024-1314,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,66679
PR-CEN-2024-1315,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,16949
PR-STA-2024-1316,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,77055
PR-CEN-2024-1317,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,54290
PR-RIV-2024-1318,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,50704
PR-STA-2024-1319,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,67882
PR-STA-2024-1320,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,96617
PR-STA-2024-1321,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,73518
PR-MET-2024-1322,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,92639
PR-CEN-2024-1323,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,39571
PR-GOT-2024-1324,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,74231
PR-RIV-2024-1325,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,67065
PR-GOT-2024-1326,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,2194
PR-GOT-2024-1327,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,63587
PR-GOT-2024-1328,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,40596
PR-MET-2024-1329,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,71143
PR-GOT-2024-1330,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,26115
PR-RIV-2024-1331,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,73550
PR-CEN-2024-1332,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,49081
PR-GOT-2024-1333,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,80702
PR-MET-2024-1334,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,77559
PR-GOT-2024-1335,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,20206
PR-STA-2024-1336,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,7655
PR-MET-2024-1337,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,98447
PR-CEN-2024-1338,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,25229
PR-RIV-2024-1339,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,64388
PR-GOT-2024-1340,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,73342
PR-MET-2024-1341,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,44872
PR-GOT-2024-1342,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,21139
PR-GOT-2024-1343,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,51470
PR-STA-2024-1344,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,93260
PR-CEN-2024-1345,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,43093
PR-CEN-2024-1346,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,74609
PR-CEN-2024-1347,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,41177
PR-RIV-2024-1348,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,24767
PR-GOT-2024-1349,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,34976
PR-STA-2024-1350,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,71014
PR-GOT-2024-1351,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,85061
PR-RIV-2024-1352,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,62594
PR-RIV-2024-1353,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,1365
